transaction_id,account_id,amount,balance_after,txn_date,currency,merchant_category,risk_score
B9001,A101,45.00,800.00,2025-03-01,USD,groceries,0.10
B9002,A102,60.00,620.00,2025-03-01,USD,gas,0.15
B9003,A103,25.00,900.00,2025-03-02,USD,coffee,0.05
B9004,A104,120.00,700.00,2025-03-02,USD,restaurants,0.18
B9005,A105,200.00,500.00,2025-03-03,USD,travel,0.45
B9006,A106,80.00,650.00,2025-03-03,USD,groceries,0.12
B9007,A107,35.00,820.00,2025-03-04,USD,subscriptions,0.20
B9008,A108,55.00,770.00,2025-03-04,USD,health,0.15
B9009,A109,70.00,720.00,2025-03-05,USD,gas,0.14
B9010,A110,90.00,680.00,2025-03-05,USD,restaurants,0.17
B9011,A111,40.00,810.00,2025-03-06,USD,coffee,0.06
B9012,A112,110.00,600.00,2025-03-06,USD,travel,0.35
B9013,A113,65.00,740.00,2025-03-07,USD,groceries,0.11
B9014,A114,50.00,760.00,2025-03-07,USD,subscriptions,0.16
B9015,A115,95.00,690.00,2025-03-08,USD,health,0.19
